grain_id,phi1,Phi,phi2,x,y,area,diameter,hkl,uvw,nearest_component,angle_to_nearest_component_deg,hkl_int,uvw_int,on_Lambda_fiber,Lambda_fiber_deviation_deg,on_Gamma_fiber,Gamma_fiber_deviation_deg,on_Eta_fiber,Eta_fiber_deviation_deg,on_Alpha_fiber,Alpha_fiber_deviation_deg
119,194.353,25.214,128.76,5236.27,10.818,594.0,27.5,(419),[-14-219],Other/Random,26.47,"4,1,9","-14,-21,9",False,25.21,False,34.76,False,38.61,False,22.17
120,196.231,30.497,133.93,5264.34,13.649,1179.0,38.74,(24742),[-7-146],Other/Random,33.98,"24,7,42","-7,-14,6",False,30.5,False,30.61,False,32.9,False,28.61
121,216.09,45.269,135.41,5341.77,52.012,14010.0,133.57,(-111),[0-74],Other/Random,31.43,"-1,1,1","0,-7,4",False,45.27,True,11.65,False,29.94,False,15.12
122,152.541,48.941,217.89,5334.0,0.0,45.0,7.57,(111),[-120],Other/Random,27.74,"1,1,1","-1,2,0",False,48.0,True,14.93,False,27.59,False,17.42
123,219.756,48.325,126.02,5346.0,0.0,27.0,5.86,(-111),[101],Other/Random,36.11,"-1,1,1","1,0,1",False,48.33,True,7.61,False,37.25,True,8.09
124,220.047,54.533,124.64,5404.41,14.338,1305.0,40.76,(-111),[101],Other/Random,38.68,"-1,1,1","1,0,1",False,51.43,True,4.04,False,42.07,True,2.93
125,27.432,52.812,315.03,5445.62,12.265,1224.0,39.48,(1-11),[10-1],Other/Random,34.45,"1,-1,1","1,0,-1",False,45.0,True,14.28,False,34.44,True,11.1
126,32.435,25.422,306.68,5493.85,8.977,1152.0,38.3,(8520),[824-9],Other/Random,32.79,"8,5,20","8,24,-9",False,25.42,False,30.28,False,26.79,False,29.0
127,222.581,47.134,134.03,5540.8,25.431,2736.0,59.02,(-111),[101],Other/Random,34.12,"-1,1,1","1,0,1",False,47.13,True,7.83,False,32.57,True,14.42
128,145.304,36.686,217.08,5586.33,30.772,2169.0,52.55,(-35-24-56),[8-7227],Other/Random,26.03,"-35,-24,-56","8,-72,27",False,36.69,False,19.45,False,21.38,False,24.06
129,313.934,55.394,42.37,5606.63,2.625,72.0,9.57,(-1-11),[715-21],Other/Random,38.16,"-1,-1,1","7,15,-21",False,53.65,True,1.09,False,37.98,False,18.27
130,312.75,22.67,75.93,5640.71,14.926,1818.0,48.11,(227),[-18-98],Other/Random,27.87,"2,2,7","-18,-9,8",False,22.67,False,32.09,False,34.69,False,27.77
131,351.349,22.349,47.81,5688.02,22.552,1809.0,47.99,(-18-5-45),[68-3],Other/Random,23.09,"-18,-5,-45","6,8,-3",False,22.35,False,38.37,False,39.91,False,18.2
132,336.699,24.894,58.39,5744.29,31.655,3915.0,70.6,(-15-7-35),[4572-32],Other/Random,26.77,"-15,-7,-35","45,72,-32",False,24.89,False,32.54,False,38.1,False,24.28
133,157.648,36.97,227.26,5746.25,1.25,108.0,11.73,(-5-2-7),[-2-63],Other/Random,34.42,"-5,-2,-7","-2,-6,3",False,36.97,False,23.87,False,31.7,False,23.94
134,198.292,35.106,134.67,5757.5,5.0,54.0,8.29,(629),[-4-105],Other/Random,34.69,"6,2,9","-4,-10,5",False,35.11,False,26.9,False,31.78,False,27.09
135,204.981,48.135,138.96,5771.7,3.6,270.0,18.54,(-9-4-9),[-591],Other/Random,29.89,"-9,-4,-9","-5,9,1",False,47.54,False,16.94,False,29.69,False,16.25
